epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.799,1.67996,5.44221,1.31694,0,0,0,0,4.15481,608604,2.77491,0.0933336,0.0013336,0.0013336
2,401.858,2.36549,5.13697,1.68105,0,0,0,0,0,0,0,0.0858339,0.0028339,0.0028339
3,596.061,2.39902,3.2351,1.79508,0,0,0,0,0,9.38569e+09,0,0.0783342,0.0043342,0.0043342
4,792.291,2.47242,3.07963,1.79997,6e-05,0.02439,3e-05,0,5.25493,3.52349e+13,1.95488e+10,0.0708345,0.0058345,0.0058345
5,986.367,2.54666,3.11663,1.81657,6e-05,0.02439,3e-05,2e-05,4.45046,7.24237e+12,2.85666e+07,0.0633348,0.0073348,0.0073348
6,1182.6,2.47383,3.31609,1.97647,6e-05,0.02439,3e-05,2e-05,5.06076,2.03678e+09,416290,0.0558351,0.0088351,0.0088351
7,1375.62,2.26486,2.2384,1.88402,6e-05,0.02439,3e-05,2e-05,0,0,0,0.0483354,0.0103354,0.0103354
8,1569.3,2.18674,3.12823,1.85263,6e-05,0.02439,3e-05,1e-05,5.27923,1.48689e+08,18973.7,0.0408357,0.0118357,0.0118357
9,1762.97,2.21033,2.44075,1.71687,6e-05,0.02439,3e-05,1e-05,4.41108,5.35393e+10,388137,0.033336,0.013336,0.013336
10,1957.48,2.19648,2.19557,1.82211,6e-05,0.02439,3e-05,0,3.28559,6.13535e+10,104133,0.0258363,0.0148363,0.0148363
11,2151.53,2.36214,3.1644,2.00914,6e-05,0.02439,3e-05,0,0,45583,0,0.0183366,0.0163366,0.0163366
12,2345.33,2.19999,2.35381,1.84119,6e-05,0.02439,3e-05,0,0,0,0,0.01667,0.01667,0.01667
13,2542.07,2.1983,2.00197,1.83308,6e-05,0.02439,3e-05,1e-05,5.23277,1.47795e+07,5652.19,0.01667,0.01667,0.01667
14,2735.95,2.06159,1.92913,1.7506,6e-05,0.02439,3e-05,1e-05,0,1291.7,0,0.01667,0.01667,0.01667
15,2930.12,2.19227,2.16345,1.8279,6e-05,0.02439,3e-05,1e-05,0,0,0,0.01667,0.01667,0.01667
