epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.973,1.32775,8.72996,1.19028,0.91219,0.43902,0.49862,0.37487,1.33841,14.6734,0.97043,0.00013336,0.00013336,0.00013336
2,401.021,1.48807,4.16897,1.26845,0.31455,0.34146,0.30297,0.18432,1.75035,49.3791,1.03419,0.000255334,0.000255334,0.000255334
3,590.402,1.58539,2.75312,1.38722,0.39845,0.26829,0.18339,0.09797,1.82712,93.2972,1.06316,0.000347603,0.000347603,0.000347603
4,778.082,1.19189,1.91277,1.17257,0.84259,0.4878,0.4725,0.26272,1.93314,74.2327,1.11389,0.000410165,0.000410165,0.000410165
5,967.271,1.26523,1.71184,1.18537,0.72763,0.65171,0.65162,0.37026,1.91497,6.55074,1.15507,0.000443022,0.000443022,0.000443022
6,1155.62,1.27017,1.72041,1.14981,0.02494,0.43902,0.01865,0.01031,1.82648,624.25,1.12212,0.000446173,0.000446173,0.000446173
7,1342.38,1.19464,1.3433,1.13177,0.87361,0.53659,0.61378,0.37174,1.83726,2.52842,1.09457,0.000419617,0.000419617,0.000419617
8,1530.66,1.17701,1.07232,1.07665,0.96074,0.63415,0.76037,0.43216,1.82175,1.79959,1.09733,0.000363356,0.000363356,0.000363356
9,1718.3,1.10325,0.9874,1.04319,0.91539,0.60976,0.75344,0.44533,1.86683,17.0839,1.12095,0.000277389,0.000277389,0.000277389
10,1907.5,0.97419,0.78812,1.06062,0.95647,0.68293,0.83738,0.46095,1.85197,2.73335,1.12142,0.000161716,0.000161716,0.000161716
