epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,592.486,2.03022,4.90391,1.62163,0,0,0,0,3.45792,4.82086e+13,1.15935e+10,0.0783342,0.0043342,0.0043342
2,1128.1,2.35058,3.17022,1.87156,0,0,0,0,4.07488,7.36229e+11,3.77346e+08,0.0558351,0.0088351,0.0088351
3,1656.32,2.28858,2.77899,1.78025,2e-05,0.00909,1e-05,0,2.18298,2.8305e+06,6389.13,0.033336,0.013336,0.013336
4,2196.04,2.18321,2.55349,1.85385,1e-05,0.00455,1e-05,0,3.73204,2.36264e+06,945.45,0.01667,0.01667,0.01667
5,2718.92,2.10599,2.59135,1.75806,1e-05,0.00455,1e-05,0,0,0,0,0.01667,0.01667,0.01667
6,3240.81,1.99294,2.27577,1.7715,0.51841,0.00909,0.00152,0.00093,1.86035,104.311,2.31003,0.01667,0.01667,0.01667
7,3760.15,1.8412,2.13817,1.66395,0.60015,0.11818,0.07164,0.03559,2.31991,13.2365,2.63423,0.01667,0.01667,0.01667
8,4282.75,1.80269,1.92324,1.69319,0.55042,0.03636,0.0258,0.0152,3.1466,39.3997,3.11706,0.01667,0.01667,0.01667
9,4799.82,1.84937,1.78583,1.70406,0.73495,0.07273,0.08161,0.04674,2.39716,14.1719,4.23759,0.01667,0.01667,0.01667
10,5325.52,1.69012,1.84002,1.57677,0.74092,0.10909,0.11513,0.06088,2.33866,3.38214,2.18023,0.01667,0.01667,0.01667
11,5849.81,1.55758,1.69615,1.50256,0.81528,0.31364,0.33197,0.18465,1.6392,3.59395,1.63026,0.01667,0.01667,0.01667
12,6373.25,1.62265,1.61466,1.44744,0.86033,0.25799,0.31282,0.1792,1.65321,2.94972,1.63758,0.01667,0.01667,0.01667
13,6898.3,1.73276,1.69476,1.68026,0.66054,0.11818,0.10419,0.06129,2.11119,61.2007,2.05394,0.01667,0.01667,0.01667
14,7420.13,1.6247,1.7105,1.55663,0.83612,0.22273,0.27731,0.14474,1.8281,2.09891,1.76161,0.01667,0.01667,0.01667
15,7942.14,1.63974,1.76093,1.49134,0.73754,0.13636,0.14669,0.09131,2.0031,2.9508,1.99947,0.01667,0.01667,0.01667
